"last_name","first_name","hire_date"
"Bellone","Rimli","2/3/1986"
"Lodder","Hisao","5/8/1986"
"Leslie","Pascal","12/22/1986"
"Baranowski","Jianwen","5/9/1986"
"Beznosov","Gennadi","6/25/1986"
"Sifakis","Serge","6/7/1986"
"Sadowski","Yuuichi","2/22/1986"
"Ramamoorthy","Filipe","11/2/1986"
"Fiutem","Billur","6/11/1986"
"Dymetman","Vidya","1/1/1986"
"Langford","Sigeru","5/17/1986"
"Cools","Marjo","12/4/1986"
"Wendorf","Boriana","10/6/1986"
"Olano","Shai","11/15/1986"
"Zhang","Boalin","12/23/1986"
"Narahari","Mario","2/12/1986"
"Syang","Naftali","1/28/1986"
"Birta","Lijia","2/1/1986"
"Ranum","Uli","2/26/1986"
"Khamsi","Gay","5/27/1986"
"Geffroy","Arne","9/7/1986"
"Muntz","Mrinalini","4/28/1986"
"Ligten","Feipei","4/29/1986"
"Fabrizio","Charlene","2/13/1986"
"Pileggi","Kazuyasu","1/16/1986"
"Zastre","Temple","7/22/1986"
"Huxford","Guther","11/20/1986"
"Petersohn","Yinghua","9/25/1986"
"Munoz","Steve","12/10/1986"
"Ramalingam","Mads","8/1/1986"
"Fujisaki","Xuedong","3/9/1986"
"Serre","Beshir","12/8/1986"
"Perl","Ottavia","7/1/1986"
"Basawa","Abdelwaheb","10/28/1986"
"Rossi","Xuedong","4/12/1986"
"Leuchs","Shawna","9/8/1986"
"Gire","Harngdar","2/11/1986"
"Hedayat","Constantine","12/2/1986"
"Jenevein","Barton","3/24/1986"
"Perly","Clyde","9/10/1986"
"Papsdorf","Yunming","12/29/1986"
"Suppi","Tsz","3/8/1986"
"Osgood","Georgi","10/26/1986"
"Sessa","Sandeepan","6/22/1986"
"Thiria","Ramzi","12/14/1986"
"Bahi","Demos","10/5/1986"
"Lunn","Boriana","8/6/1986"
"Cronau","Ziya","9/14/1986"
"Pellegrinelli","Lalit","8/29/1986"
"Kuhnemann","Sedat","6/2/1986"
"Ranon","Shay","10/6/1986"
"Weiland","Mansur","7/19/1986"
"Merkl","Zhanqiu","7/21/1986"
"Tchuente","Samphel","6/23/1986"
"Zizka","Gao","10/24/1986"
"Dichev","Masali","2/2/1986"
"Tetzlaff","Yurii","12/26/1986"
"Kleiser","Adin","8/28/1986"
"Hofting","Conor","7/3/1986"
"Serra","Petter","7/5/1986"
"Remmele","Jamaludin","6/14/1986"
"Karunanithi","Vasilii","10/15/1986"
"Lorys","Boutros","7/15/1986"
"Suermann","Jiakeng","8/7/1986"
"Thummel","Petter","9/16/1986"
"Puoti","Kwok","8/27/1986"
"Munke","Lihong","4/13/1986"
"Ramsak","Khue","8/10/1986"
"Tetzlaff","Udo","4/9/1986"
"Stavenow","Christoph","4/12/1986"
"Lund","Yuichiro","1/28/1986"
"Danecki","Danel","5/4/1986"
"Piazza","Kenroku","11/2/1986"
"Selvestrel","Lijia","5/31/1986"
"Bergere","Bodo","5/14/1986"
"Krychniak","Shridhar","11/2/1986"
"Sevcikova","Maik","4/12/1986"
"Alpin","Temple","8/31/1986"
"Farrar","Arnould","3/1/1986"
"Granlund","Arco","11/22/1986"
"Leijenhorst","Quingbo","2/17/1986"
"Benveniste","Wojceich","6/23/1986"
"Steenbeek","Charlene","7/19/1986"
"Biran","Fumino","2/10/1986"
"Zeidenstein","Youssef","10/26/1986"
"Hebert","Danae","10/11/1986"
"Angelov","Teruyuki","11/8/1986"
"Parascandalo","Maren","7/6/1986"
"Caine","JoAnne","10/15/1986"
"Zumaque","Jayson","2/26/1986"
"Ghazalie","Hilary","5/4/1986"
"Genther","Pradeep","11/25/1986"
"Guerreiro","Woody","10/9/1986"
"Gist","Kensei","12/17/1986"
"Boguraev","Zvonko","12/28/1986"
"Kusakabe","Yongmin","1/26/1986"
"Zwicker","Lihong","9/3/1986"
"Farrow","Dietrich","2/16/1986"
"Picaronny","Rosalyn","12/7/1986"
"Schaaf","Jingling","6/29/1986"
"Bugaenko","Wojceich","9/3/1986"
"Liesche","Gill","2/27/1986"
"Sgarro","Yoshimitsu","8/26/1986"
"Mitchem","Toong","2/5/1986"
"Ghalwash","Hercules","10/12/1986"
"Szilard","Keiichiro","8/5/1986"
"Brookman","Kellyn","3/25/1986"
"Radwan","Monique","9/10/1986"
"Fasbender","Souichi","12/11/1986"
"Sewelson","Xiping","9/16/1986"
"Teitelbaum","Gil","7/16/1986"
"Whittlesey","Jaideep","9/30/1986"
"Fairtlough","Hilari","11/11/1986"
"Massonet","Zejun","10/20/1986"
"Kugler","Amstein","9/2/1986"
"Rousseau","Atreyi","4/13/1986"
"Docker","Behnaam","2/25/1986"
"Baaz","Duangkaew","12/17/1986"
"Matzat","Shigehito","8/7/1986"
"Bultermann","Giordano","6/1/1986"
"Ferriere","Ute","12/1/1986"
"Valette","Fuqing","3/10/1986"
"Brodie","Avishai","5/10/1986"
"Thorensen","Vishwani","7/19/1986"
"Reghbati","Shugo","11/10/1986"
"Rosin","Roselyn","2/16/1986"
"Krogh","Ayakannu","8/2/1986"
"Hanratty","Qunsheng","12/14/1986"
"Veccia","Sven","3/7/1986"
"Eterovic","Ennio","12/16/1986"
"Katalagarianos","Sadegh","1/28/1986"
"Camurati","Neelam","1/31/1986"
"Bolsens","Mani","4/4/1986"
"Sridhar","Ohad","8/5/1986"
"Schneeberger","Suzette","11/23/1986"
"Heping","Mizuhito","11/11/1986"
"Merlo","Paraskevi","5/2/1986"
"Milicia","Arunachalam","10/27/1986"
"Yeung","Nechama","2/2/1986"
"Foote","Alselm","5/1/1986"
"Baik","Tsutomu","4/22/1986"
"Osgood","Leni","8/5/1986"
"Talmon","Petter","8/17/1986"
"Basawa","Mang","2/10/1986"
"Smailagic","Basem","11/9/1986"
"Kusalik","Takahira","12/6/1986"
"Pietrzykowski","Berthier","6/30/1986"
"Rotem","Oldrich","3/6/1986"
"Rothenberg","Kerhong","3/7/1986"
"Ferretti","Deborah","12/17/1986"
"Kitsuregawa","Xiaobin","6/30/1986"
"Prampolini","Dekang","11/17/1986"
"Taubenfeld","Maria","12/15/1986"
"Sadowski","Mohan","7/30/1986"
"Heusch","Xinyu","4/21/1986"
"Gecsei","Ioana","3/11/1986"
"Doering","Alejandra","2/24/1986"
"Hemaspaandra","Arup","5/18/1986"
"Ruther","Leon","2/17/1986"
"Hofman","Yuping","9/3/1986"
"Barreiro","Mani","12/25/1986"
"Jenevein","Tonia","9/25/1986"
"Schlegelmilch","Kristin","1/21/1986"
"Hellwagner","Maren","5/8/1986"
"Schade","Bodo","2/14/1986"
"Burnard","Eckart","12/30/1986"
"Luca","Stepehn","10/9/1986"
"Erol","Fabrizio","2/28/1986"
"Kulisch","Lokesh","4/22/1986"
"Welham","Abdelkader","8/12/1986"
"Kobara","Khun","1/11/1986"
"Lorch","Jackson","12/5/1986"
"Melski","Gal","10/12/1986"
"Baig","Xuejun","5/30/1986"
"Gronowski","Amalendu","12/26/1986"
"Belinskaya","Aamer","12/13/1986"
"Chinal","Jaideep","4/30/1986"
"Holburn","Kazuhira","11/4/1986"
"Cyre","Masaki","9/20/1986"
"Copas","Kiyokazu","8/24/1986"
"Aamodt","Theron","3/16/1986"
"Georg","Takushi","2/13/1986"
"Poupard","Aiichiro","5/30/1986"
"Conte","Alassane","7/31/1986"
"Masamoto","Jamaludin","1/26/1986"
"Tanemo","Shahid","5/29/1986"
"Riesenhuber","Oksana","6/5/1986"
"Marrevee","Xuejun","9/3/1986"
"Kugler","Youngkon","6/24/1986"
"Auyong","Mohan","2/5/1986"
"Gulak","Jiafu","5/13/1986"
"England","Piyawadee","6/6/1986"
"Baca","Genta","8/21/1986"
"Roisin","Gil","10/15/1986"
"Marquardt","Parke","4/29/1986"
"Wolniewicz","Boguslaw","8/26/1986"
"Pusterhofer","Jinpo","4/19/1986"
"Griswold","Junsik","5/30/1986"
"Holburn","Oldrich","5/31/1986"
"Ellozy","Manu","11/18/1986"
"Tokunaga","Kankanahalli","11/14/1986"
"Soicher","Leaf","8/21/1986"
"Kadhim","Tua","9/1/1986"
"Diderrich","Bojan","4/16/1986"
"Schoegge","Haldon","6/7/1986"
"Antonisse","Radhakrishnan","9/12/1986"
"Klyachko","Abdelaziz","1/20/1986"
"Kohling","Elvis","2/25/1986"
"Toyoshima","Frederique","5/3/1986"
"Ritzmann","Otilia","6/22/1986"
"Rossi","Sumant","3/27/1986"
"Shinomoto","Takahiro","4/30/1986"
"Langford","Olivera","2/19/1986"
"Halevi","Laurentiu","6/17/1986"
"Gewali","Herb","11/11/1986"
"Zuberek","Renny","8/1/1986"
"Segond","Taiji","6/23/1986"
"Yamaashi","Xinan","1/29/1986"
"Raney","Kaijung","10/16/1986"
"Pellegrinelli","Bader","11/19/1986"
"Asmuth","Reuven","12/20/1986"
"Gulik","Christoph","2/17/1986"
"Belinskaya","Boaz","3/16/1986"
"Czap","Mayumi","1/16/1986"
"Baar","Marla","6/16/1986"
"Deville","Conrado","6/4/1986"
"Basagni","Giri","11/14/1986"
"Lienhardt","Torsten","8/19/1986"
"Lamma","Gila","7/17/1986"
"Shackel","Christoper","6/3/1986"
"Waschkowski","Mari","5/5/1986"
"Dratva","Maris","11/4/1986"
"Vidal","Wanqing","4/28/1986"
"Buchter","Niclas","3/29/1986"
"Aseltine","Zhigen","1/23/1986"
"McDermid","Marit","8/20/1986"
"Bruckman","DAIDA","10/16/1986"
"Gomatam","Augustine","7/23/1986"
"Takkinen","Howell","6/2/1986"
"Kambil","Mari","8/26/1986"
"Maquelin","Hideo","4/19/1986"
"Muhlberg","Filipe","9/23/1986"
"Schwaller","Douadi","11/30/1986"
"Lorie","Taiji","7/19/1986"
"Gerlach","Abdulla","6/13/1986"
"Kowalchuk","Yucel","5/29/1986"
"Poupard","Parto","2/19/1986"
"Dengi","Kinh","9/10/1986"
"Lovengreen","Christoph","8/24/1986"
"Parascandalo","Weicheng","6/2/1986"
"Kolvik","Irene","11/9/1986"
"Chiola","Youjian","12/12/1986"
"Geffroy","Karsten","8/13/1986"
"Luit","Stabislas","2/23/1986"
"Acton","Pragnesh","11/4/1986"
"Soicher","Gennadi","2/20/1986"
"Gien","Paddy","3/14/1986"
"Erdmenger","Vishwani","2/3/1986"
"Jeansoulin","Zongyan","8/1/1986"
"Ravishankar","Elrique","9/5/1986"
"Stavenow","Guadalupe","3/30/1986"
"Stranks","Tsvetan","5/20/1986"
"Keohane","Khue","7/20/1986"
"Grospietsch","Tayeb","11/30/1986"
"Kavanagh","Jingling","4/17/1986"
"Stentiford","Jordanka","5/5/1986"
"Khalil","Eishiro","10/13/1986"
"Erez","Ravishankar","6/22/1986"
"Zweizig","Tzvetan","3/14/1986"
"Hitomi","Heather","5/23/1986"
"Kruskal","Howell","7/14/1986"
"Adachi","Serif","2/17/1986"
"Roohalamini","Vugranam","6/12/1986"
"Wroclawski","Goo","12/14/1986"
"Matzel","Subir","6/20/1986"
"Swiss","Olivera","12/2/1986"
"Byoun","Demin","3/7/1986"
"Veldwijk","Munir","3/17/1986"
"Jiafu","Freyja","3/23/1986"
"Skafidas","Mahmut","3/16/1986"
"Fargier","KayLiang","2/23/1986"
"Macedo","Billie","10/3/1986"
"Vickson","Srinidhi","6/7/1986"
"Ozeri","Boutros","7/19/1986"
"Ullian","Miyeon","10/19/1986"
"Schaad","Make","10/8/1986"
"Mukaidono","Pranjal","6/15/1986"
"Fadgyas","Jungsoon","6/21/1986"
"Schaaf","Amabile","8/28/1986"
"Fadgyas","Nevin","2/18/1986"
"Schaad","Chuanyi","9/25/1986"
"Sidou","Mingsen","8/11/1986"
"Panwar","Khaled","7/6/1986"
"Kakkad","Satosi","10/21/1986"
"Ermel","Ebbe","6/15/1986"
"Pelc","Adly","1/11/1986"
"Bierman","Anyuan","6/13/1986"
"Shumilov","Aamod","9/18/1986"
"Szilard","Vasilis","7/29/1986"
"Baba","Flemming","2/12/1986"
"Fadgyas","Shigenori","12/2/1986"
"Moehrke","Bodh","1/11/1986"
"Massonet","Ingmar","3/31/1986"
"Chinal","Freyja","11/8/1986"
"Kragelund","Genki","3/28/1986"
"Ruther","Niteen","12/11/1986"
"Lambe","Vidya","7/16/1986"
"Botman","Debatosh","3/15/1986"
"Botman","Kiam","11/17/1986"
"Salvesen","Akemi","11/14/1986"
"Kalorkoti","Takushi","6/21/1986"
"Jarecki","Mitsuyuki","1/12/1986"
"Cannane","Anyuan","2/2/1986"
"Fujisaki","Akemi","12/16/1986"
"Feinberg","Zita","4/21/1986"
"Picaronny","Erez","12/22/1986"
"Merkl","Karlis","5/5/1986"
"Liesche","Alejandro","9/8/1986"
"Riesenhuber","Lucien","9/4/1986"
"Kamber","Akhilish","4/29/1986"
"Koshiba","Jaideep","9/16/1986"
"Kossowski","Valeri","3/4/1986"
"Perfilyeva","Martina","1/12/1986"
"Shinomoto","Toong","1/27/1986"
"Chiodo","Boutros","8/10/1986"
"Zeleznik","Chrisa","12/9/1986"
"Underwood","Kazuhisa","5/29/1986"
"Nilsson","Luerbio","11/17/1986"
"Angelov","Jiang","12/12/1986"
"Chartres","Teiji","4/4/1986"
"Anido","Goetz","10/26/1986"
"Muhlberg","Tomokazu","12/18/1986"
"Eugenio","Ult","7/11/1986"
"Fujisawa","Mohd","9/7/1986"
"Molenaar","Martial","3/30/1986"
"Hiraishi","Masamitsu","4/10/1986"
"Rettelbach","Conrado","3/20/1986"
"Luders","Thodoros","11/9/1986"
"Lamparter","Tuval","11/6/1986"
"Daescu","Demin","9/19/1986"
"Fiutem","Ziva","1/28/1986"
"Apsitis","Yagil","9/18/1986"
"Bolsens","Khalil","8/4/1986"
"Thibadeau","Krisda","3/8/1986"
"Yetim","Tomokazu","7/6/1986"
"Bouloucos","Georgy","10/16/1986"
"Uehara","Samphel","9/29/1986"
"Riesenhuber","Mansur","9/15/1986"
"Perz","Reinhold","5/15/1986"
"Kavanagh","Flemming","11/3/1986"
"Chaudhury","Serge","1/4/1986"
"Silva","Demin","4/27/1986"
"Beetstra","Rasikan","3/5/1986"
"Chachaty","Kamakshi","8/27/1986"
"Marquardt","Yuguang","12/27/1986"
"Ratzlaff","Heather","2/8/1986"
"Baca","Yinghua","3/16/1986"
"Snedden","Kwee","6/20/1986"
"Smeets","Masanao","4/6/1986"
"Marshall","Juichirou","2/22/1986"
"Casley","Mooi","10/29/1986"
"Ozeki","Denny","11/17/1986"
"Genther","Chriss","8/25/1986"
"McFarlan","Jiann","2/4/1986"
"Schreiter","Gila","7/6/1986"
"Bouloucos","Rasiah","2/16/1986"
"Zongker","Dung","5/29/1986"
"Chimia","Karlis","12/12/1986"
"Pluym","Elliott","4/23/1986"
"Thiria","Elzbieta","3/21/1986"
"Linares","Zongyan","4/15/1986"
"Christianini","Moto","5/3/1986"
"Avouris","Susanta","7/16/1986"
"Berstel","Salvador","2/5/1986"
"Schurmann","Quingbo","8/31/1986"
"Figueira","Kwun","5/27/1986"
"Chenney","Pranav","1/16/1986"
"Oaver","Freyja","10/21/1986"
"Klyachko","Kiyotoshi","4/13/1986"
"Khalil","Douadi","9/8/1986"
"Alvarado","Bowen","10/30/1986"
"Daescu","Ipke","11/18/1986"
"Crooks","Xiaobin","5/17/1986"
"Masaki","Oscar","7/26/1986"
"Demizu","Jordanka","5/8/1986"
"Radhakrishnan","Zine","11/19/1986"
"Haldar","Nathan","6/11/1986"
"Maierhofer","Khoa","8/14/1986"
"Reghbati","Sushant","9/8/1986"
"Borstler","Pasqua","4/11/1986"
"Pollacia","Yoshinari","1/29/1986"
"Feldhoffer","Remmert","4/1/1986"
"Onuegbe","Palash","2/3/1986"
"Bardell","Shawna","10/23/1986"
"Marzano","Pasqua","9/5/1986"
"Nicolson","Shaowei","7/19/1986"
"Trelles","Junichi","12/5/1986"
"Ghandeharizadeh","Mamdouh","1/8/1986"
"Assaf","Magy","7/7/1986"
"Yavatkar","Woody","10/14/1986"
"Akiyama","Hidde","2/15/1986"
"Zeleznik","Berni","8/23/1986"
"Giveon","Boaz","10/19/1986"
"Pashtan","Gino","8/3/1986"
"Tasistro","Berhard","2/20/1986"
"Knightly","Xianlong","5/9/1986"
"Quaggetto","Conor","10/8/1986"
"Redmiles","Atreye","1/21/1986"
"Birrer","Qunsheng","5/13/1986"
"Benaini","Goh","4/3/1986"
"Krychniak","Giap","4/5/1986"
"Speek","Bernd","12/20/1986"
"Hainaut","Taiji","2/3/1986"
"Colorni","Lalit","8/11/1986"
"Hiroyama","Zorica","6/16/1986"
"Streit","Girolamo","2/7/1986"
"Foote","Hailing","4/21/1986"
"Ratnaker","Jaewoo","6/2/1986"
"Cronin","Toshimori","8/24/1986"
"Pellegrinelli","Frazer","5/23/1986"
"Meszaros","Dulce","4/25/1986"
"Fargier","Kerryn","6/13/1986"
"Weiland","Aksel","8/26/1986"
"Pleszkun","Frazer","6/19/1986"
"Katalagarianos","Valeska","3/8/1986"
"Marchesini","Mohua","8/20/1986"
"Foote","Susumu","5/21/1986"
"Ranta","Youjian","7/4/1986"
"Perez","Pranay","5/13/1986"
"Jonsson","Sastry","5/1/1986"
"Hitomi","Goetz","8/29/1986"
"Pepe","Kazunori","9/11/1986"
"Motley","Baziley","2/20/1986"
"Krychniak","Gadiel","2/20/1986"
"Melichar","Goetz","11/9/1986"
"Sgarro","Ghassan","7/12/1986"
"Laurillard","Danel","6/23/1986"
"Ventosa","Ottavia","1/4/1986"
"Trelles","Gilbert","9/22/1986"
"Hettesheimer","Jeanne","2/16/1986"
"Bernick","Mayuri","12/17/1986"
"Rathonyi","Ronnie","2/19/1986"
"Percebois","Khalil","3/13/1986"
"Bondorf","Leandro","9/5/1986"
"Zschoche","Tetsurou","10/27/1986"
"Huxford","Xiadong","1/11/1986"
"Baez","Chriss","9/22/1986"
"Bierman","Weiye","6/19/1986"
"Merli","Yifei","6/7/1986"
"Baca","Siddarth","11/5/1986"
"Riexinger","Stevo","9/28/1986"
"Borovoy","Richard","1/23/1986"
"Takkinen","Guangming","5/24/1986"
"Gente","Shuky","9/16/1986"
"Ramsak","Shao","4/7/1986"
"DuCasse","Fumiyo","10/1/1986"
"Paludetto","Eirik","6/9/1986"
"Landherr","Olivera","6/23/1986"
"Rikino","Irena","3/8/1986"
"Hanratty","Premal","9/8/1986"
"Panangaden","Stafford","12/21/1986"
"Litzkow","Garnik","10/1/1986"
"Schwabacher","Moon","5/19/1986"
"Ramsak","Sakthirel","9/4/1986"
"Levasseur","Maia","12/12/1986"
"Selenyi","Weiwu","2/17/1986"
"Ranst","Yurii","11/1/1986"
"Wuwongse","Teiji","7/18/1986"
"Biros","Hsiangchu","8/2/1986"
"Straney","Toshimori","3/10/1986"
"Basart","Renee","10/30/1986"
"Rajaraman","Arvin","6/23/1986"
"Poehlman","Gao","11/26/1986"
"Dalphin","Niclas","1/25/1986"
"Schwabacher","Cordelia","6/19/1986"
"Herber","Hitomi","2/2/1986"
"Detkin","Koldo","6/28/1986"
"Shumilov","Olivera","3/19/1986"
"Setia","Elgin","4/12/1986"
"Setlzner","Doowon","10/22/1986"
"Heijenga","Marin","10/25/1986"
"Murtha","Shahar","6/6/1986"
"Hoppenstand","Anyuan","3/24/1986"
"Chorvat","Bader","3/26/1986"
"Ponthieu","Abdulla","10/10/1986"
"Ladret","Zeydy","7/19/1986"
"Linnainmaa","Alain","9/17/1986"
"Casperson","Premsyl","11/5/1986"
"Ciolek","Chiradeep","12/10/1986"
"Gammage","Gou","2/19/1986"
"Thibadeau","Olivera","12/23/1986"
"Kalsbeek","Tse","2/25/1986"
"Mansanne","Miomir","8/22/1986"
"Begiun","Subbu","7/21/1986"
"Deville","Parke","12/10/1986"
"Thorensen","Elzbieta","6/20/1986"
"Swift","Clyde","3/14/1986"
"Suessmith","Subir","1/5/1986"
"Uehara","Sanjiv","9/13/1986"
"Papadias","Eldridge","8/19/1986"
"Usdin","Szabolcs","12/17/1986"
"Erdi","Mack","9/29/1986"
"Osgood","Shirish","6/10/1986"
"Basawa","Francesca","2/5/1986"
"Parhami","Spyrose","10/1/1986"
"Valtorta","Stamatina","11/25/1986"
"Hennebert","Mrinalini","2/8/1986"
"Giaccio","Odinaldo","10/9/1986"
"Melski","Tetsushi","11/8/1986"
"Marshall","Evgueni","11/18/1986"
"Hiltgen","Bodh","6/16/1986"
"Zuberek","Lobel","8/4/1986"
"Worfolk","Pranjal","9/9/1986"
"Porotnikoff","Satoru","10/20/1986"
"Peot","Xiong","4/29/1986"
"Birdsall","Trygve","9/10/1986"
"Rosar","Sangeeta","10/12/1986"
"Smeets","Morrie","1/6/1986"
"Shimshoni","Kwangsub","12/13/1986"
"Kaelbling","Lorien","4/18/1986"
"Ulupinar","Vitaly","1/17/1986"
"Baba","Gopalakrishnan","12/15/1986"
"Chartres","Macha","2/24/1986"
"Farrar","Gaetan","7/12/1986"
"Selvestrel","Zhiwei","10/13/1986"
"Ullian","Patricia","4/15/1986"
"Callaway","Uwe","5/9/1986"
"Schlegelmilch","Suzette","1/22/1986"
"Peltason","Henk","5/30/1986"
"Picel","Tzvetan","6/7/1986"
"Kalefeld","Cedric","12/25/1986"
"Ramaiah","Sampalli","9/24/1986"
"Marletta","Fabrizio","3/27/1986"
"Egerstedt","Giri","9/24/1986"
"Anily","Greger","3/8/1986"
"Dahlbom","Sajjan","6/30/1986"
"Marwedel","Jixiang","11/12/1986"
"Kavvadias","Arnould","1/3/1986"
"Sevcikova","Gianluca","7/11/1986"
"Gyorkos","Alain","4/30/1986"
"Walston","Kayoko","6/13/1986"
"Yoshimura","Mohammad","8/1/1986"
"Milicia","Takahiro","10/13/1986"
"Thorelli","Heon","8/2/1986"
"Maliniak","Nectarios","1/16/1986"
"Barvinok","Lobel","5/7/1986"
"Iacovou","Nigel","11/28/1986"
"Conta","Xumin","4/3/1986"
"Boreale","Jouni","12/30/1986"
"Peris","Mahmut","1/6/1986"
"Cooke","Ger","11/6/1986"
"Lamparter","Wilmer","10/28/1986"
"Ouhyoung","Rimli","3/10/1986"
"Ghemri","Samphel","11/24/1986"
"Swift","Weiru","7/22/1986"
"Marrevee","Munenori","2/28/1986"
"Zirintsis","Marin","6/20/1986"
"Osgood","Goa","2/8/1986"
"Hitomi","Sastry","7/31/1986"
"Peck","Indrajit","6/16/1986"
"Schaad","Khedija","10/2/1986"
"Melichar","Boaz","9/5/1986"
"Georgakopoulos","Aluzio","3/25/1986"
"Oaver","Supot","3/15/1986"
"Asser","Hatem","2/28/1986"
"Sudbeck","Poornachandra","8/13/1986"
"Yamaashi","Arnd","10/14/1986"
"Swick","Shim","8/19/1986"
"Zhang","Licheng","8/16/1986"
