"emp_no","last_name","first_name","sex","salary"
"260467","Castellani","Flemming","F","74418"
"468104","Templeman","Ramachenga","F","40000"
"272787","Stifter","Tsutomu","F","41592"
"412143","Tsukune","Hugo","M","56614"
"296408","Erni","Ottavia","F","40000"
"90020","Holburn","Oldrich","M","40000"
"242159","Isaak","Gad","F","67125"
"238713","Uhrig","Itzchak","F","58223"
"32314","Honiden","Sachar","M","47043"
"248592","Miyakawa","Goa","F","82710"
"33667","Boreale","Marsja","F","51436"
"484534","Harllee","Surveyors","M","40000"
"275178","Oppitz","Maja","M","50510"
"224420","Berendt","Karoline","M","68966"
"204399","Peak","Uta","M","40000"
"61132","Strooper","Maha","F","62563"
"458500","Orlowska","Ingemar","M","50153"
"59457","Raoux","Gopalakrishnan","M","60926"
"99191","Baby","Elvia","M","64325"
"220683","Sidhu","Steve","M","58322"
"252240","Makrucki","Radhakrishnan","M","45970"
"10601","Usdin","Barton","M","40000"
"429787","Ariola","Susanta","F","40000"
"58477","Cappelletti","Cedric","M","65986"
"413686","Oskamp","Youngkon","F","44614"
"448066","Conti","Baoqiu","M","40288"
"293803","Halevi","Laurentiu","M","44655"
"449420","Plotkin","Shiv","F","54930"
"42563","Baar","Nechama","M","53409"
"241437","Gadepally","Domenico","M","42281"
"488296","Sherertz","Behnaam","M","57055"
"18917","Castellani","Xiaoqiang","F","52218"
"420585","Tiemann","Yechezkel","M","41861"
"437514","Pettey","Giap","F","40000"
"442461","Serot","Abdulah","F","68499"
"34976","Comte","Chuanti","F","61588"
"58925","Lienhardt","Takahiro","F","48050"
"207275","Skrikant","Mong","M","74386"
"47705","Marshall","Sudhanshu","M","61398"
"427444","Ventosa","Arfst","M","54980"
"108813","Baar","Marla","M","51485"
"11434","Brendel","Prodip","M","54798"
"69971","Gerteisen","Masato","M","75168"
"71389","Uehara","Sanjeeva","M","49432"
"403454","Muniz","Duangkaew","M","40000"
"213117","Lienhardt","Torsten","M","61496"
"488839","Luders","Niclas","M","69214"
"267740","Gaughan","Shigehiro","F","56172"
"76714","Waschkowski","Mari","F","46846"
"299303","Himler","Nahla","M","40000"
"417531","Malabarba","Hirochika","F","76289"
"65434","Blokdijk","Abdelaziz","M","63100"
"39276","Busillo","Alejandro","F","46595"
"433058","Staylopatis","Mayuri","M","91110"
"430261","Keustermans","Shaw","F","61161"
"401347","Emden","Tokuyasu","F","50122"
"22648","Butterworth","Shai","F","47655"
"477963","Crouzet","Candido","M","58360"
"230311","Speckmann","Marlo","M","67409"
"484577","Crelier","Macha","F","40000"
"472379","Lorie","Taiji","M","59415"
"416410","Collette","Aris","M","66486"
"14237","Gerlach","Abdulla","F","57219"
"460410","Werthner","Lidong","F","40000"
"49740","Dayana","Jayesh","M","70918"
"55796","Milicia","Qiwen","M","62050"
"466670","Luders","Sreenivas","M","40000"
"66695","Bondorf","Mihalis","M","44669"
"231676","Erdmenger","Paraskevi","F","40000"
"226322","Kriebel","Kiyotoshi","M","50201"
"464900","Breugel","Rafols","F","40000"
"473884","Cichocki","Nidapan","F","58619"
"487282","Beeson","Masoud","F","40777"
"60231","Peha","Filipp","M","50145"
"243609","Bratten","Lunjin","F","48660"
"10934","Strooper","Bartek","F","48342"
"433741","Schaap","Subhada","F","40000"
"236223","McFarlan","Roded","F","40000"
"478217","Falco","Mayumi","M","66496"
"256983","Osgood","Weiyi","M","76641"
"409400","Collavizza","Perla","M","40000"
"36174","Escriba","Saeko","F","68190"
"59589","Raoux","Manibrata","M","40422"
"55612","Furudate","Sanjiv","M","42513"
"43018","Heering","Arvind","M","54310"
"488231","Luga","Iara","F","40105"
"457311","Stranks","Tsvetan","M","40000"
"25408","Swiler","Nikolaus","M","53536"
"89070","Morris","George","F","40000"
"292203","Siegrist","IEEE","M","72551"
"475210","Masada","Maya","F","50866"
"78967","Kaltofen","Huican","F","40000"
"421408","Taubman","Debatosh","M","41144"
"229281","Solovay","Hitomi","F","85579"
"234891","Erez","Ravishankar","M","42006"
"39897","Thorensen","Laurentiu","M","40000"
"31234","Ramras","Takahira","M","40236"
"227521","Gruenwald","Felicidad","F","56944"
"41359","Trachtenberg","Yucel","M","47321"
"489020","Cheshire","Yagil","M","69787"
"278912","Rubsam","Khatoun","M","40000"
"293123","Luck","Basem","M","102144"
"13122","Murtafg","Barry","F","40000"
"403891","Lowrie","Tayeb","M","69694"
"493181","Belinskaya","Kwangjo","M","69904"
"87109","Wuwongse","Arunas","F","40000"
"240305","Range","Zhilian","M","79765"
"103592","Kirkerud","Jacopo","F","49428"
"256337","Riexinger","Mingsen","F","67847"
"212208","Mitina","Garnet","M","51128"
"411117","Vecchi","DeForest","F","40000"
"476872","Stifter","Gao","F","65583"
"467940","Snedden","Limsoon","M","56038"
"220179","Mitchem","Bouchung","M","50200"
"434595","Ghazalie","Godehard","M","65194"
"22942","Syang","Udaiprakash","M","48382"
"269514","Lupu","Zhanqiu","F","46700"
"493639","Kragelund","Eldridge","F","71421"
"218468","Manders","Padma","F","40000"
"98333","Kampfer","Randi","M","58705"
"246444","Herath","Kien","M","42049"
"226323","Solovay","Sadegh","F","40000"
"490138","Lichtman","Shan","M","75534"
"448745","Karnin","Chrisa","F","40000"
"272834","Bressoud","Huei","F","40000"
"257732","Asrin","Doowon","M","62865"
"461405","Fadgyas","Shigenori","F","57567"
"97953","Fairtlough","Uri","F","65382"
"58551","Zhang","Denny","F","41825"
"217764","Massonet","Ingmar","M","40000"
"41624","Benveniste","Heejo","M","45970"
"69091","Gornas","Pranas","F","65742"
"94129","Heping","Fei","F","40000"
"238992","Hiyoshi","Fox","M","54017"
"268295","Lambe","Vidya","F","40000"
"88463","Picaronny","Suzette","F","40000"
"38874","Bernick","Shahar","M","40000"
"248248","Angelopoulos","Mang","M","40000"
"268079","Papsdorf","Toshimori","F","53876"
"485904","Cannane","Anyuan","M","52264"
"245493","Kirkerud","Mechthild","F","48954"
"34531","Picaronny","Erez","M","52188"
"236384","Pauthner","Chirstian","M","40000"
"80564","Meriste","Guoxiang","F","40000"
"56511","Siksek","Debatosh","F","60422"
"207707","Usdin","Uinam","M","54430"
"299952","Sommen","Kensyu","F","40000"
"268347","Angelov","Jiang","F","54867"
"89655","Kuzuoka","Tamiya","F","43864"
"225127","Boudaillier","Xuejun","F","76852"
"26732","Winter","Shim","M","46908"
"237742","Pouyioutas","Shim","M","63682"
"424256","Back","Along","F","40000"
"64609","Toyoshima","Zengping","M","60929"
"38716","Perin","Toshimo","M","65186"
"415650","Peternell","Jessie","F","51868"
"242684","Luders","Moto","F","67163"
"263494","Ghemri","Arco","F","40000"
"272514","Talmon","Douadi","F","52280"
"252421","Arlazarov","Dipayan","M","82118"
"287527","Junot","Girolamo","F","40864"
"275270","Hettesheimer","Mountaz","F","41980"
"61249","Gruenwald","Renny","M","53038"
"210372","Wolniewicz","Hitomi","M","40000"
"77257","Hopewell","Tse","F","80430"
"255648","Furudate","Angel","F","40000"
"494605","Kohling","Basim","M","55487"
"208938","Delgrande","Renee","F","40000"
"94670","Hofstetter","Noritoshi","M","43650"
"251197","Hennings","Marc","M","58229"
"95072","Broder","Jianhui","F","40000"
"448981","Michaels","Ulf","F","79108"
"467598","Silva","Demin","F","40000"
"26139","Copas","Ashish","M","42204"
"218903","Demke","Laurentiu","M","40000"
"442618","Piancastelli","Jaewon","M","47994"
"200122","Basart","Jayesh","F","40000"
"492566","DasSarma","Susuma","F","40000"
"257087","Waeselynck","Odysseas","F","43024"
"450931","Stentiford","IEEE","M","52056"
"109390","Zizka","Herbert","M","76564"
"486098","Speer","Martina","F","59408"
"10794","Berztiss","Teunis","M","43485"
"469144","Bala","Roddy","F","42288"
"37373","Nicolson","Eben","F","54342"
"483693","dAstous","Rasiah","M","64073"
"478360","Gilg","Sanjiv","F","47946"
"499511","Tokunaga","Gonzalo","M","42278"
"57552","Gargeya","Pranav","F","66778"
"60200","Ritcey","Genevieve","F","44351"
"406661","Solares","Ingemar","M","40000"
"47631","Peyn","Piyush","M","40000"
"18083","Tiemann","Aimee","F","46333"
"81708","Kakkar","Byong","F","40657"
"484925","Fargier","Tetsushi","M","40000"
"109730","Rubsam","Mats","M","40000"
"421286","DuBourdieux","Mikhail","M","40000"
"232855","Wossner","Aamod","M","63187"
"61327","McAffer","Nigel","F","47150"
"205406","Swiler","Aloys","M","67776"
"87604","Ravishankar","Wonhee","M","46681"
"39555","Tomescu","Weiye","M","48092"
"269675","Cannard","Padma","M","40528"
"85478","Ghandeharizadeh","Ortrud","F","78708"
"60666","Krichel","Christoph","M","40000"
"413142","Mattern","Subhash","F","76986"
"485211","Deyuan","Dipankar","M","59733"
"297754","Alpay","Arne","F","76637"
"499954","Tempesti","Tuval","M","40000"
"77721","Honiden","Rance","M","44005"
"281983","Klyachko","Kiyotoshi","M","55433"
"404590","Trelles","Luerbio","M","79143"
"247376","Simmel","Selwyn","M","78916"
"242570","Staelin","Sachio","M","50267"
"485892","Thummel","Greger","M","56857"
"430160","Kilgour","Anneke","F","40000"
"11115","Demos","Sahrah","M","45364"
"80466","Bala","Takahiro","M","78991"
"224065","Sankaranarayanan","Malu","M","65556"
"202554","Vandervoorde","Uzi","M","65093"
"239323","Pokrovskii","Martial","F","61136"
"457662","Lund","Hitofumi","M","54739"
"34709","Kragelund","Anneli","F","50591"
"65737","Birdsall","Shiv","M","74804"
"51089","Feldhoffer","Remmert","M","71040"
"240658","Fendler","Saddek","M","84837"
"53009","Kalsbeek","Maha","M","45461"
"259231","Lunt","Keung","F","69182"
"450052","Onuegbe","Palash","M","63494"
"499180","Serdy","Limsoon","F","65241"
"248719","Erol","Chenxi","M","70743"
"490324","McClurg","Hercules","M","82187"
"22258","Mungall","Marjo","F","40000"
"58681","Azumi","Makato","M","40000"
"429983","Ponthieu","Gay","M","64256"
"245127","Zedlitz","Djelloul","F","65236"
"269680","Hanabata","Fusako","M","55627"
"210190","Lorin","Mingzeng","M","40000"
"271361","Budinsky","Paraskevi","F","59671"
"290028","Verhaegen","Danny","F","55166"
"465413","Oxenboll","Francoise","M","79713"
"284375","Jumpertz","Prodip","M","53842"
"285492","Narahara","Make","M","49852"
"404896","Impagliazzo","Moheb","F","70651"
"254529","Terwilliger","Doowon","M","40000"
"405308","Leivant","Sreenivas","F","40000"
"488102","Reinhard","Constantine","F","40881"
"222161","Conta","Manton","M","40000"
"233668","Perry","Roselyn","M","53577"
"406931","Shrader","Divine","F","40000"
"28119","Luce","Yannik","M","44390"
"58516","Knightly","Xianlong","F","70580"
"84028","Schach","Xinan","F","40000"
"431825","Kavanagh","Lakshmi","F","50027"
"419441","Lores","Taiji","F","60259"
"256737","Dechter","Brewster","M","53864"
"208113","Gopalakrishnan","Goa","M","48628"
"487755","Rodham","Foong","M","65130"
"27282","Bahi","Xiaobin","M","66217"
"107654","Speek","Bernd","M","54222"
"70149","Hainaut","Taiji","M","50631"
"39350","Chenney","Fumitaka","M","71314"
"222185","Furedi","Yahiko","M","49733"
"82909","Coorg","Diederik","F","52659"
"270947","Bolsens","Bernt","M","67896"
"15246","Solares","Nechama","M","40000"
"462774","Chinal","Moie","F","53712"
"230095","Carrere","Yishai","F","48465"
"278301","Rusterholz","Kwangho","M","55976"
"12055","Kilgore","Rutger","F","60201"
"88212","Tasistro","Jiong","F","40000"
"99048","Pintelas","Kinh","F","63321"
"270205","Ranta","Youjian","M","50616"
"98712","Chandrasekhar","Renny","M","48353"
"40875","Iacovou","Genevieve","F","40000"
"271453","Gadepally","Shalesh","F","52819"
"244548","Swan","Xiaocheng","M","71533"
"261279","Sgarro","Ghassan","M","80023"
"218385","Fontet","Bangqing","M","67181"
"95409","Heydon","Mats","M","81936"
"207792","Himler","Shir","M","62550"
"47565","Dredge","Mary","M","40000"
"76023","Perelgut","Cullen","M","43697"
"74108","Poulakidas","Valter","M","47389"
"268129","Merle","Yifei","M","40000"
"434126","Ramaiah","Fayez","M","73152"
"465282","Luiz","Valery","M","63916"
"201843","Barreiro","Lidong","M","40000"
"237369","Perri","Magdalena","F","52560"
"299130","Chenney","Vitaly","F","40000"
"264704","Ranze","Petter","M","87490"
"248791","Marchesini","Atreye","M","40000"
"212697","Raney","Yongmao","F","49640"
"250106","Erie","Howell","F","44741"
"92512","Kulisch","Denis","M","66509"
"401216","Braunschweig","Adib","F","40000"
"48562","Cmelik","Tokuyasu","M","53051"
"279882","Erez","Souichi","M","64892"
"243546","Tsukune","Uinam","M","67779"
"435898","Perez","Alejandro","M","40000"
"264115","Thiria","Masasuke","F","40000"
"260923","Thisen","Arvin","M","65132"
"22227","Castellani","Uri","M","43195"
"402659","Zobel","Phule","F","53682"
"221441","Cooman","Moie","M","58602"
"232913","Jervis","Tze","F","75565"
"252178","Byoun","Shuzo","M","45503"
"492240","Litzkow","Garnik","M","55488"
"64586","Jenevein","Hongzhu","M","72909"
"17418","Biros","Hsiangchu","M","57135"
"222151","Roisin","Shiv","F","63905"
"24005","Suppi","Arco","F","40000"
"76836","Mundy","Atilio","F","53796"
"261628","Rajaraman","Arvin","M","40000"
"489622","Malinowski","Hinrich","F","69322"
"256364","Lienhardt","Mikhail","M","53244"
"25360","Kavvadias","Martina","F","71796"
"30025","Mansanne","Jianhao","F","40000"
"249022","Conia","Boriana","M","40000"
"216337","Borovoy","Arlette","M","71519"
"443144","Murillo","Marsal","F","62615"
"260073","Srimani","Kristin","M","49669"
"494186","Cappello","Dmitry","M","42987"
"201229","Khasidashvili","Alejandra","M","49086"
"72318","Rettelbach","Heather","M","40000"
"214447","Ariola","Krisda","M","57206"
"73144","Limongiello","Marc","F","70256"
"72404","Rassart","KayLiang","F","83494"
"107658","Dredge","Rosella","F","40000"
"229259","Narahari","Georgi","M","56381"
"475480","Schieder","Kristen","M","47570"
"267159","Ponthieu","Abdulla","F","42061"
"78262","Linnainmaa","Alain","M","82698"
"222893","Fandrianto","Shigeichiro","M","61666"
"422904","Fritzsche","Kotesh","M","100704"
"263588","Servi","Oldrich","M","55553"
